Date,India,Punjab,Haryana,Rajasthan,Delhi,UP
01-04-2017,3449.2,127.7,121.1,180,83.1,314.9
02-04-2017,3303.8,115.3,105.3,178.6,79.5,301.1
03-04-2017,3421.6,120.6,118.6,179.3,87.2,313.2
04-04-2017,3419,109.5,116.6,173,84.7,313.2
05-04-2017,3362.1,95,90.8,174.8,82.3,279.7
06-04-2017,3375.2,83.8,103.3,173,82.9,303.1
07-04-2017,3450.5,101,114.8,201.5,82.9,325.6
08-04-2017,3368.3,103.7,110.7,167.2,76,298.3
09-04-2017,3255.3,96,98.4,162.1,69.5,286.2
10-04-2017,3320.1,94.5,100.9,164.8,75,259
11-04-2017,3507.5,103.5,110.3,172,78.5,278
12-04-2017,3455.6,110.1,113.3,179.5,83.7,309.7
13-04-2017,3510.2,111.3,118.7,179.1,86.7,324.9
14-04-2017,3489.9,120.4,120.2,186.9,88,322.2
15-04-2017,3478.9,120.4,120.2,186.9,88,322.2
16-04-2017,3363.8,115.4,113.3,189.3,87.8,318.4
17-04-2017,3505.5,120.7,124.1,189.9,99.1,335.9
18-04-2017,3573.4,122.5,132.6,193.4,102.8,348.5
19-04-2017,3578.8,129.1,134,197,104.5,352.9
20-04-2017,3566.3,135.6,135.4,201.5,109.5,359.1
21-04-2017,3568.7,136.7,139.5,196.8,114.6,350.9
22-04-2017,3469.7,109.7,127.8,200.1,109.7,342.6
23-04-2017,3342,103,127.7,194.9,93.8,324.5
24-04-2017,3410.4,105.4,128.9,179.4,101.4,301.1
25-04-2017,3517.2,121,136.6,186.5,100.8,315.9
26-04-2017,3479.1,127.7,134.7,176.9,98.7,328.5
27-04-2017,3488.8,128.5,133.9,184.7,99,328.7
28-04-2017,3512,135.8,139,182.7,99.4,335.3
29-04-2017,3462.1,140.9,140.3,181.8,95.5,332.6
30-04-2017,3284,124.2,119.6,186.1,89.5,330.2
01-05-2017,3225.7,131.8,140.1,191.5,94.2,318.1
02-05-2017,3427.6,139.3,145.3,191.1,99.1,349.6
03-05-2017,3463.2,135.6,141.1,174.9,100.1,344.3
04-05-2017,3499.5,141,141.6,198,100.5,332.4
05-05-2017,3581,150.6,151.4,204.1,104.6,355.8
06-05-2017,3535.9,152.8,153.9,202.2,104,354.2
07-05-2017,3363.4,155.5,150.8,194.4,103.1,367.8
08-05-2017,3492.1,163.8,157.7,195.2,115.2,370.3
09-05-2017,3443.6,163.3,158.7,201.3,116,316.6
10-05-2017,3443.8,165.4,150.1,200.9,112.7,346.2
11-05-2017,3521.6,161.7,148.9,204.3,113.7,362.9
12-05-2017,3572.5,166.5,162,205.9,116.4,373.3
13-05-2017,3576.6,175.9,162.6,217.5,113.8,377.9
